Hilo_ID, Iteracion, Latencia_ns
0, 0, 701
0, 1, 25678133
0, 2, 25983426
0, 3, 25638719
0, 4, 25898195
0, 5, 25632079
0, 6, 25881515
0, 7, 25842687
0, 8, 25877698
0, 9, 25825936
3, 0, 9861350
3, 1, 25576992
3, 2, 25722323
3, 3, 25656713
3, 4, 25846923
3, 5, 25578525
3, 6, 25878690
3, 7, 25869983
3, 8, 25884926
3, 9, 25890200
1, 0, 20032201
1, 1, 25760789
1, 2, 25582510
1, 3, 25900432
1, 4, 25855501
1, 5, 25737337
1, 6, 25886647
1, 7, 25884062
1, 8, 25866238
1, 9, 25710304
2, 0, 30306227
2, 1, 25840305
2, 2, 25616197
2, 3, 25934164
2, 4, 25703549
2, 5, 26011281
2, 6, 25875595
2, 7, 25912661
2, 8, 25877890
2, 9, 25593325
